,Post-SPAC Ticker Symbol,Post-SPAC Company Name,Merged Company Name (if Different than DeSPAC),SPAC Name / Ticker,Merger Completion Date (Announced),Post-Completion Events,Total Return (from SPAC IPO price),Annualized Return (from SPAC IPO),Current Price,% Change Prev,Market Cap,Warrant Trading Status,Warrant Link,SPAC IPO Date,SPAC IPO Size (M),SPAC Initial Target Industry,Notable Leadership / Sponsor,SPAC Underwriter(s),Status,Closing Press Release,Merger Partner Leadership,Est. Date Warrants Exercisable,Warrant Exercise Deadline (if Called)
23,BTRS,BTRS Holdings Inc.,Billtrust,South Mountain Merger Corp (SMMC),2021-01-12,,53.00%,28.96%,$15.30,-1.23%,"$2,393,375,969",Warrants Trading,Warrant Link,2019-06-19,$250.0,Fintech,"Charles Bernicker (CEO, South Mountain Merger Corp & Former CFO,  CardConnect)",Citigroup,Trading,Closing Press Release,,2021-02-11,
24,CLOV,"Clover Health Investments, Corp.",,Social Capital Hedosophia Holdings Corp. III (IPOC),2021-01-07,,-11.80%,-11.96%,$8.82,20.00%,"$3,583,699,940",Warrants Trading,Warrant Link,2020-04-22,$828.0,"Tech, Non-US","Chamath Palihapitiya (Managing Partner, Social Capital), Ian Osborne  (Co-founder/CEO, Hedosophia)",Credit Suisse,Trading,Closing Press Release,,2021-04-22,
25,LSEA,Landsea Homes Corporation,,LF Capital Acquisition Corp (LFAC),2021-01-07,,-4.20%,-1.49%,$9.58,0.84%,"$442,893,168",Warrants Trading,Warrant Link,2018-06-20,$155.3,"Fintech, Commercial Banking",,"B. Riley FBR, Raymond James",Trading,Closing Press Release,,2021-02-06,
26,BMTX,"BM Technologies, Inc.","BankMobile Technologies, Inc.",Megalith Financial Acquisition Corp (MFAC),2021-01-05,,5.40%,2.04%,$10.54,-5.13%,"$128,591,161",Warrants Trading,Warrant Link,2018-08-23,$150.0,"Fintech, Financial Services",Chad Hurley (Founder and Former CEO of YouTube),"Chardan, BTIG",Trading,Closing Press Release,,2021-02-04,
27,CLNN,"Clene Nanomedicine, Inc.",,Tottenham Acquisition I (TOTA),2020-12-30,,17.10%,6.30%,$11.71,-6.17%,"$697,051,335",Warrants Trading,Warrant Link,2018-08-01,$46.0,"Asia Ops (Focus on China), TMT (Technology, Media, Telecom), education,  e-commerce, Health-care, Consumer",,"Chardan, I-Bankers",Trading,Closing Press Release,,2021-01-29,
28,RMO,"Romeo Power, Inc.","Romeo Systems, Inc.",RMG Acquisition Corp (RMG),2020-12-29,,-16.30%,-7.44%,$8.37,0.48%,"$1,061,208,012",Warrants Trading,Warrant Link,2019-02-07,$200.0,"Diversified Resources, Industrial Materials",,"Deutsche Bank, Stifel",Trading,Closing Press Release,,2021-01-28,2021-04-05
29,DNMR,"Danimer Scientific, Inc.",,Live Oak Acquisition Corp. (LOAK),2020-12-29,,215.10%,226.91%,$31.51,-2.17%,"$2,783,206,162",Warrants Trading,Warrant Link,2020-05-06,$253.0,"Financial Services, Industrials, Business Services, and Real Estate",,"Jefferies, BMO",Trading,Closing Press Release,,2021-05-06,
30,GNOG,"Golden Nugget Online Gaming, Inc.",,"Landcadia Holdings II, Inc (LCA)",2020-12-29,,47.00%,24.13%,$14.70,0.58%,"$1,144,992,936",,,2019-05-07,$316.3,"Consumer, Dining, Hospitality, Entertainment, Gaming, Tech","Tilman Fertitta (Houston Rockets owner, CEO of Landry's)",Jefferies,Trading,Closing Press Release,,,2021-03-08
31,RSI,"Rush Street Interactive, Inc.",,dMY Technology Group Inc (DMYT),2020-12-29,,46.20%,40.05%,$14.62,2.17%,"$3,109,146,193",Warrants Trading,Warrant Link,2020-02-21,$230.0,"Mobile Apps, Consumer Internet, Tech",Harry You (Former CFO of Oracle and Accenture; Former Exec VP of EMC;  Founder of GTY Tech Holdings),"Goldman Sachs, UBS",Trading,Closing Press Release,,2021-02-20,2021-03-24
32,VINC,"Vincera Pharma, Inc.",,LifeSci Acquisition Corp (LSAC),2020-12-23,,76.00%,68.16%,$17.60,-3.83%,"$258,648,021",Warrants Trading,Warrant Link,2020-03-06,$65.6,Healthcare,,Chardan,Trading,Closing Press Release,,2021-03-06,
33,PRCH,"Porch Group, Inc.","Porch.com, Inc.",PropTech Acquisition Corp (PTAC),2020-12-23,,43.60%,31.02%,$14.36,-10.70%,"$1,284,006,262",Warrants Trading,Warrant Link,2019-11-21,$172.5,PropTech,,Cantor,Trading,Closing Press Release,,2021-01-22,2021-04-16
34,ARKO,ARKO Corp,"ARKO Holdings Ltd., GPM Investments, LLC",Haymaker Acquisition Corp. II (HYAC),2020-12-22,,-0.50%,-0.27%,$9.95,-0.40%,"$1,238,056,586",Warrants Trading,Warrant Link,2019-06-07,$400.0,Consumer,"Steven Heyer (Former CEO of Starwood Hotels; Fmr COO, Coca-Cola Company)",Cantor,Trading,Closing Press Release,,2021-01-21,
35,ASLE,AerSale Corporation,,Monocle Acquisition Corp (MNCL),2020-12-22,,25.50%,11.62%,$12.55,-0.32%,"$515,129,943",Warrants Trading,Warrant Link,2019-02-06,$172.5,"Aerospace, Defense, Industrial",,"Cowen, Chardan",Trading,Closing Press Release,,2021-01-21,
36,XL,XL Fleet Corp,,Pivotal Investment Corporation II (PIC),2020-12-22,,-35.10%,-19.83%,$6.49,-1.82%,"$902,795,961",,,2019-07-11,$230.0,"Tech, LogTech, Last Mile Delivery, Cyber Security, Media, Entertainment","Jon Ledecky (co-owner, New York Islanders), Katrina Adams (Chairman, US  Open and Former Pro Tennis Player), Efrat Epstein (Managing Partner of  Sound Ventures)","Cantor, BTIG",Trading,Closing Press Release,,,2021-03-01
37,GOEV,Canoo Holdings,,Hennessy Capital Acquisition Corp IV (HCAC),2020-12-21,,-17.90%,-8.40%,$8.21,-1.79%,"$1,949,564,671",Warrants Trading,Warrant Link,2019-03-01,$300.2,Industrials,Daniel Hennessy,"Nomura, Stifel",Trading,Closing Press Release,,2021-01-20,
38,OPEN,Opendoor Technologies Inc.,Opendoor Labs Inc.,Social Capital Hedosophia Hldgs II Corp (IPOB),2020-12-18,,83.90%,86.51%,$18.39,-6.89%,"$10,615,218,889",Warrants Trading,Warrant Link,2020-04-28,$414.0,"Tech, United States","Chamath Palihapitiya (Managing Partner, Social Capital), Ian Osborne  (Co-founder/CEO, Hedosophia)",Credit Suisse,Trading,Closing Press Release,,2021-04-28,
39,CLVR,"Clever Leaves Holdings, Inc.",,Schultze Special Purpose Acquisition Corp (SAMA),2020-12-18,,5.60%,2.38%,$10.56,-7.53%,"$263,242,330",Warrants Trading,Warrant Link,2018-12-10,$130.0,Restructured Companies,,"EarlyBirdCapital, BTIG",Trading,Closing Press Release,,2021-01-17,
40,BFI,BurgerFi International,,Opes Acquisition Corp (OPES),2020-12-17,,31.80%,10.26%,$13.18,-2.15%,"$229,883,720",Warrants Trading,Warrant Link,2018-03-13,$100.0,Mexico,,"EarlyBirdCapital, Chardan",Trading,Closing Press Release,,2021-01-16,
41,SKLZ,Skillz,,Flying Eagle Acquisition Corp (FEAC),2020-12-16,,51.10%,45.83%,$15.11,0.07%,"$5,982,098,727",Warrants Trading,Warrant Link,2020-03-06,$690.0,,"Jeff Sagansky, Harry Sloan (Former CEO of MGM)","Goldman Sachs, Deutsche Bank",Trading,Closing Press Release,,2021-03-06,
42,RVPH,"Reviva Pharmaceuticals Holdings, Inc.",,Tenzing Acquisition Corp (TZAC),2020-12-14,,-55.90%,-21.01%,$4.41,4.50%,"$40,711,954",Warrants Trading,Warrant Link,2018-08-20,$55.0,India,,Maxim,Trading,Closing Press Release,,2021-01-13,
43,DM,Desktop Metal Inc.,,Trine Acquisition Corp (TRNE),2020-12-10,,27.00%,12.23%,$12.70,1.11%,"$3,072,721,000",Warrants Trading,Warrant Link,2019-02-01,$261.0,"Media, Communications",Leo Hindery (Managing Partner of InterMedia Partners; Former CEO of  AT&T Broadband; Former CEO of TCI),"BTIG, Cantor",Trading,Closing Press Release,,2021-01-09,2021-03-29
44,HTOO,Fusion Fuel Green PLC,,HL Acquisitions Corp (HCCH),2020-12-10,,20.00%,7.16%,$12.00,-4.76%,"$152,672,640",Warrants Trading,Warrant Link,2018-07-02,$55.0,"Energy, Hydrocarbon Logistics and Processing",,EarlyBirdCapital,Trading,Closing Press Release,,2021-01-09,
45,LAZR,"Luminar Technologies, Inc.",,"Gores Metropoulos, Inc (GMHI)",2020-12-02,,76.70%,34.73%,$17.67,-2.16%,"$6,002,348,830",,,2019-02-01,$400.0,Consumer Products and Services,Alec Gores (Founder of The Gores Group),"Deutsche Bank, Credit Suisse",Trading,Closing Press Release,Austin Russell,,2021-03-16
46,QS,QuantumScape,,Kensington Acquisition Corp (KCAC),2020-11-27,,255.20%,315.76%,$35.52,-0.92%,"$13,298,457,291",Warrants Trading,Warrant Link,2020-06-26,$230.0,Automotive,"Justin Mirro (Former Chairman, Pure Power), Thomas LaSorda (Former CEO,  Chrysler), Matthew Simoncini (Former CEO, Lear)","UBS, Stifel",Trading,Closing Press Release,Jagdeep Singh,2021-03-05,
47,ID,"PARTS iD, Inc.",Onyx Enterprises Intâl Corp. (d/b/a CARiD.com),Legacy Acquisition Corp (LGC),2020-11-20,,-19.80%,-5.80%,$8.02,-1.72%,"$263,645,084",,,2017-11-17,$300.0,Consumer Goods,,"Wells Fargo Securities, Cantor & Co., Stifel",Trading,Closing Press Release,,,
48,UK,Ucommune International Ltd,,Orisun Acquisition Corp (ORSN),2020-11-18,,-77.30%,-45.22%,$2.27,-5.81%,"$193,835,570",Warrants Trading,Warrant Link,2019-08-02,$40.0,Tech,,Chardan,Trading,Closing Press Release,,2020-12-18,
49,MP,MP Materials Corp.,,Fortress Value Acquisition Corp (FVAC),2020-11-17,,206.40%,214.02%,$30.64,-3.10%,"$5,231,421,407",Warrants Trading,Warrant Link,2020-04-30,$345.0,,Fortress,"Deutsche Bank, Morgan Stanley",Trading,Closing Press Release,,2021-04-30,
50,GCMG,GCM Grosvenor Inc.,,CF Finance Acquisition Corp (CFFA),2020-11-17,,20.20%,8.61%,$12.02,-1.88%,"$2,242,333,489",Warrants Trading,Warrant Link,2018-12-13,$250.0,"Finance, Real Estate, Insurance, Fintech","Howard Lutnick (CEO, Cantor)",Cantor,Trading,Closing Press Release,,2020-12-17,
51,EOSE,"Eos Energy Enterprises, Inc.","Eos Energy Storage, LLC",B Riley Principal Merger II Corp (BMRG),2020-11-16,,43.40%,47.71%,$14.34,-2.71%,"$742,829,932",Warrants Trading,Warrant Link,2020-05-20,$176.8,,B. Riley Financial,B. Riley FBR,Trading,Closing Press Release,,2021-05-20,
52,TRIT,"Triterras, Inc.",Triterras Fintech Pte. Ltd.,Netfin Acquisition Corp (NFIN),2020-11-10,,-23.70%,-13.82%,$7.63,-0.26%,"$634,784,421",Warrants Trading,Warrant Link,2019-07-31,$253.0,Fintech,,B. Riley FBR,Trading,Closing Press Release,,2020-12-10,
53,ATNF,180 Life Sciences Corp.,,KBL Merger Corp IV (KBLM),2020-11-09,,-0.20%,-0.05%,$9.98,-0.60%,"$240,650,523",Warrants Trading,Warrant Link,2017-06-01,$100.0,Healthcare,,"Ladenburg Thalmann, B. Riley FBR",Trading,Closing Press Release,,2020-12-09,
54,TLMD,"SOC Telemed, Inc.",,Healthcare Merger Corp. (HCCO),2020-10-30,,-33.50%,-24.85%,$6.65,-4.32%,"$510,542,984",Warrants Trading,Warrant Link,2019-12-12,$250.0,Healthcare,,Cantor,Trading,Closing Press Release,,2020-12-11,
55,FSR,Fisker Inc.,,Spartan Energy Acquisition Corp (SPAQ),2020-10-28,,31.30%,11.63%,$13.13,-3.03%,"$3,808,515,406",Warrants Trading,Warrant Link,2018-08-09,$552.0,Energy,"Apollo Global Management, Inc.","Citigroup, Credit Suisse",Trading,Closing Press Release,Henry Fisker,2020-11-27,2021-04-19
56,ADV,Advantage Solutions Inc,,Conyers Park II Acquisition Corp. (CPAA),2020-10-28,,30.60%,17.45%,$13.06,2.03%,"$4,158,957,133",Warrants Trading,Warrant Link,2019-07-17,$402.5,Consumer,"Centerview Capital, James Kilts (Partner, Centerview Capital Consumer;  Former CEO of Gillette; Former CEO of Nabisco; Former Pres. of Kraft  USA)","Deutsche Bank, Goldman Sachs",Trading,Closing Press Release,,2020-11-27,
57,CERE,Cerevel Therapeutics,,ARYA Sciences Acquisition Corp II (ARYB),2020-10-26,,56.50%,65.26%,$15.65,-1.01%,"$1,991,888,131",Warrants Trading,Warrant Link,2020-06-05,$149.50,Healthcare,Perceptive Advisors,"Jefferies, Goldman Sachs",Trading,Closing Press Release,,2021-06-05,
58,RIDE,Lordstown Motors Corp.,,DiamondPeak Holdings Corp. (DPHC),2020-10-23,,0.20%,0.09%,$10.02,2.35%,"$1,769,324,666",Warrants Trading,Warrant Link,2019-02-28,$280.00,Real Estate,,Deutsche Bank,Trading,Closing Press Release,Steve Burns,2020-11-22,
59,PAYA,Paya Holdings Inc.,,FinTech Acquisition Corp III (FTAC),2020-10-16,,13.70%,5.66%,$11.37,0.26%,"$1,326,849,424",Warrants Trading,Warrant Link,2018-11-16,$345.00,Fintech,"Betsy Cohen (Founder/Fmr CEO Bancorp), Daniel Cohen",Cantor,Trading,Closing Press Release,,2020-11-15,
60,TTCF,"Tattooed Chef, Inc",Ittella International,Forum Merger II Corporation (FMCI),2020-10-15,,87.10%,32.18%,$18.71,3.14%,"$1,522,713,275",,,2018-08-03,$200.00,,Marshall Kiev and David Boris (Forum I & II),"Jefferies, EarlyBirdCapital",Trading,Closing Press Release,,,2021-02-16
61,CURI,CuriosityStream Inc.,,Software Acquisition Group Inc (SAQN),2020-10-14,,33.00%,23.39%,$13.30,-1.19%,"$698,888,410",Warrants Trading,Warrant Link,2019-11-19,$149.50,"Software, Tech",,B. Riley FBR,Trading,Closing Press Release,,2020-11-18,
62,SFT,Shift Technologies,,Insurance Acquisition Corp. (INSU),2020-10-13,,-23.90%,-11.49%,$7.61,-0.26%,"$639,912,202",Warrants Trading,Warrant Link,2019-03-20,$150.65,Insurance,Cohen & Company,Cantor,Trading,Closing Press Release,,2020-11-12,
63,MPLN,MultiPlan Corporation,,Churchill Capital III Corp (CCXX),2020-10-08,,-36.00%,-30.70%,$6.40,1.35%,"$4,281,113,663",Warrants Trading,Warrant Link,2020-02-14,"$1,100.00",,Michael Klein (Former Co-CEO of Citi Markets and Banking),"Citigroup, Goldman Sachs",Trading,Closing Press Release,,2021-02-13,
64,HYLN,Hyliion,,Tortoise Acquisition Corp (SHLL),2020-10-01,,-11.40%,-5.33%,$8.86,-0.89%,"$1,508,460,127",,,2019-02-27,$233.00,Energy,Vincent T. Cubbage (Tortoise Capital Advisors),"Barclays, Goldman Sachs",Trading,Closing Press Release,Thomas Healy,,2020-12-30
65,EQOS,Diginex Limited,,8I Enterprises Acquisition Corp (JFK),2020-10-01,,-23.90%,-8.39%,$7.61,-0.91%,"$283,985,342",Warrants Trading,Warrant Link,2018-06-12,$50.00,Tech,,Chardan,Trading,Closing Press Release,,2020-10-31,2021-03-26
66,VLDR,"Velodyne Lidar, Inc",,Graf Industrial Corp (GRAF),2020-09-29,,33.80%,11.86%,$13.38,1.59%,"$2,519,496,837",Warrants Trading,Warrant Link,2018-06-12,$243.77,Industrial,James Graf,"EarlyBirdCapital, Oppenheimer",Trading,Closing Press Release,,2020-10-29,
67,GB,Global Blue Group,,Far Point Acquisition Corp (FPAC),2020-08-28,,16.10%,5.65%,$11.61,-0.51%,"$2,177,280,124",Warrants Trading,Warrant Link,2018-06-12,$632.50,"Fintech, Tech, Financial Services","Dan Loeb (Founder, Third Point), Thomas W. Farley (Ex-Intercontinental  Exchange)","Credit Suisse, BofA Merrill Lynch",Trading,Closing Press Release,,2020-09-27,
68,UTZ,"Utz Brands, Inc","Utz Quality Foods, LLC",Collier Creek Holdings (CCH),2020-08-28,,156.50%,61.75%,$25.65,0.63%,"$2,266,353,168",Warrants Trading,Warrant Link,2018-10-05,$440.00,Consumer Goods,Chinh Chu (Former Managing Director at Blackstone),"Citigroup, Credit Suisse, BofA Merrill Lynch",Trading,Closing Press Release,,2020-09-27,
69,HPK,"HighPeak Energy, Inc.",,Pure Acquisition Corp (PACQ),2020-08-24,,-23.10%,-7.27%,$7.69,-6.56%,"$712,677,676",Warrants Trading,Warrant Link,2018-02-12,$414.00,"Oil and Gas, Energy",,"Oppenheimer, EarlyBirdCapital",Trading,Closing Press Release,,2020-09-23,
70,DMS,"Digital Media Solutions, Inc.",,Leo Holdings Corp. (LHC),2020-07-15,,9.80%,3.08%,$10.98,-5.67%,"$655,352,911",Warrants Trading,Warrant Link,2018-02-12,$200.00,,"Lyndon Lea (Founder, Lion Capital), Robert Bensoussan (Former CEO, Jimmy  Choo), Lori Bush (Former CEO, Rodan + Fields)",Citigroup,Trading,Closing Press Release,,2020-08-14,
71,IMTX,Immatics N.V.,Immatics Biotechnologies GmbH,ARYA Sciences Acquisition Corp (ARYA),2020-07-01,,20.30%,8.00%,$12.03,-4.98%,"$756,790,561",Warrants Trading,Warrant Link,2018-10-04,$143.75,Healthcare,Perceptive Advisors,"Jefferies, Chardan",Trading,Closing Press Release,,2020-07-31,
72,HOFV,Hall of Fame Resort & Entertainment Company,,Gordon Pointe Acquisition Corp. (GPAQ),2020-07-01,,-68.70%,-21.29%,$3.13,-4.28%,"$294,872,021",Warrants Trading,Warrant Link,2018-01-25,$125.00,FinTech,James Dolan,B. Riley FBR,Trading,Closing Press Release,,2020-07-31,
73,FREE,Whole Earth Brands Inc,"Merisant Company, MAFCO Worldwide (Subsidiaries of Flavors Holdings  Inc.)",Act II Global Acquisition Corp (ACTT),2020-06-25,,37.00%,18.68%,$13.70,0.00%,"$526,445,371",Warrants Trading,Warrant Link,2019-04-25,$300.00,"Consumer packaged goods, Hospitality, Restaurants, Health and Wellness","Irwin Simon (Founder, Hain Celestial Group; Former Chairman, Aphria Inc)","JP Morgan, Cantor Fitzgerald",Trading,Closing Press Release,,2020-07-25,
74,LGHL,Lion Group Holding Ltd,Lion Financial Group,Proficient Alpha Acquisition Corp (PAAC),2020-06-18,,-73.00%,-38.67%,$2.70,-4.59%,"$99,994,258",Warrants Trading,Warrant Link,2019-05-29,$115.00,"China, Financial Services",,"I-Bankers, EarlyBirdCapital",Trading,Closing Press Release,,2020-07-18,
75,LPRO,Open Lending Corp.,,Nebula Acquisition Corporation (NEBU),2020-06-10,,271.00%,82.84%,$37.10,-1.72%,"$4,681,659,937",,,2018-01-09,$250.00,Tech,True Wind Capital,"Deutsche Bank, Goldman Sachs",Trading,Closing Press Release,,,2020-09-08
76,NKLA,Nikola Corporation,,VectoIQ Acquisition Corp (VTIQ),2020-06-03,,9.80%,3.35%,$10.98,3.29%,"$4,303,565,802",,,2018-05-15,$230.00,,"Stephen Girsky (CEO VectoIQ; Former Vice Chairman, General Motors)","Cowen, Chardan",Trading,Closing Press Release,Trevor Milton (Chairman upon Merger),,2020-08-21
77,HYMC,Hycroft Mining Holding Corporation,,Mudrick Capital Acquisition Corporation (MUDS),2020-05-29,,-60.00%,-18.80%,$4.00,0.00%,"$239,605,200",Warrants Trading,Warrant Link,2018-02-07,$200.0,Post-Restructured companies,,Cantor,Trading,Closing Press Release,,2020-06-28,
78,SJ,Scienjoy Holding Corp,,Wealthbridge Acquisition Limited (HHHH),2020-05-07,,-14.30%,-6.52%,$8.57,-1.49%,"$231,709,567",,,2019-02-06,$50.0,"Air Transportation, China",,Chardan,Trading,Closing Press Release,,,
